,zip,count,city,lat,long
134,11379,25,Middle Village,-73.87925,40.716028
135,10038,24,New York,-74.00365,40.709677
136,11421,24,Woodhaven,-73.85828,40.69087
137,11414,23,Howard Beach,-73.84321,40.658188
138,10306,22,Staten Island,-74.11785,40.569394
139,11354,22,Flushing,-73.82496,40.767969
140,11378,22,Maspeth,-73.90271,40.724096
141,11361,20,Bayside,-73.77392,40.763177
142,10305,18,Staten Island,-74.07503,40.599021
143,11364,16,Oakland Gardens,-73.75994,40.746718
144,10471,15,Bronx,-73.90347,40.900819
145,10018,12,New York,-73.99337,40.755101
146,10280,12,New York,-74.0178,40.707467
147,11693,9,Far Rockaway,-73.81978,40.596959
148,11239,9,Brooklyn,-73.87919,40.645848
149,11370,9,East Elmhurst,-73.89052,40.763015
150,10044,9,New York,-73.94917,40.762174
151,11411,8,Cambria Heights,-73.73574,40.693538
152,11417,8,Ozone Park,-73.84476,40.675534
153,10017,8,New York,-73.97231,40.752159
154,11358,7,Flushing,-73.79612,40.760522
155,10129,7,New York,-73.977182,40.780751
156,10475,6,Bronx,-73.82541,40.878522
157,11428,4,Queens Village,-73.74127,40.719981
158,11357,4,Whitestone,-73.80922,40.784453
159,10464,3,Bronx,-73.78903,40.857017
160,10309,2,Staten Island,-74.21304,40.529749
161,11004,2,Glen Oaks,-73.70956,40.742944
162,11366,2,Fresh Meadows,-73.79502,40.726137
163,10005,1,New York,-74.00858,40.706019
164,11360,1,Bayside,-73.78005,40.780386
165,11426,1,Bellerose,-73.72108,40.732239
